TRAIN_NAME,TRAIN,ORIGIN,SERVICE,WAGON_CLASS,NUM_WAGONS,LEG_NUM
1PM5,1PM5WEK,WEK,1PAT,RQZYT,2,2
1PM5,1PM5WEK,WEK,1PM5,RRQY,1,2
1PM5,1PM5WEK,WEK,1PM5,CQWY,6,2
1PM5,1PM5WEK,WEK,1PM5,RQZY,6,2
1PM5,1PM5WEK,WEK,1PM5,RRYY,1,2
1PM5,1PM5WEK,WEK,1PM5,RQJY,1,2
1PM5,1PM5WEK,WEK,1PM5,RQJW,1,2
1PM5,1PM5WEK,WEK,1PM5FUEL,RQSY,1,2
1PM5,1PM5WEK,WEK,1PMTP,RQZYT,6,2
1PM5,1PM5WEK,WEK,1PMTP,RRXYT,1,2
1PM5,1PM5WEK,WEK,6KA4,RQSY,9,2
1PM5,1PM5WEK,WEK,7KA1FUEL,7KA1FUEL,1,2
1PM5,1PM5WEK,WEK,CREW VAN,RZAY,1,2
1PM5,1PM5WEK,WEK,NR2,NR,2,2
1PM5,1PM5AFT,AFT,1PM5,RQJW,1,5
1PM5,1PM5AFT,AFT,1PM5,RQZY,6,5
1PM5,1PM5AFT,AFT,1PM5,RRQY,1,5
1PM5,1PM5AFT,AFT,1PM5,RRYY,1,5
1PM5,1PM5AFT,AFT,1PM5,CQWY,6,5
1PM5,1PM5AFT,AFT,1PM5,RQJY,1,5
1PM5,1PM5AFT,AFT,1PM5FUEL,RQSY,1,5
1PM5,1PM5AFT,AFT,NR2,NR,2,5
1PM5,1PM5TLB,TLB,1PM5,RQJY,1,6
1PM5,1PM5TLB,TLB,1PM5,RQZY,6,6
1PM5,1PM5TLB,TLB,1PM5,RRQY,1,6
1PM5,1PM5TLB,TLB,1PM5,RQJW,1,6
1PM5,1PM5TLB,TLB,1PM5,CQWY,6,6
1PM5,1PM5TLB,TLB,1PM5,RRYY,1,6
1PM5,1PM5TLB,TLB,1PM5FUEL,RQSY,1,6
1PM5,1PM5TLB,TLB,NR2,NR,2,6
1PM5,1PM5SCJ,SCJ,1PA5,RQZY,2,4
1PM5,1PM5SCJ,SCJ,1PA5,RRQY,1,4
1PM5,1PM5SCJ,SCJ,1PAT,RQZYT,2,4
1PM5,1PM5SCJ,SCJ,1PM5,RRYY,1,4
1PM5,1PM5SCJ,SCJ,1PM5,RRQY,1,4
1PM5,1PM5SCJ,SCJ,1PM5,RQZY,6,4
1PM5,1PM5SCJ,SCJ,1PM5,RQJY,1,4
1PM5,1PM5SCJ,SCJ,1PM5,CQWY,6,4
1PM5,1PM5SCJ,SCJ,1PM5,RQJW,1,4
1PM5,1PM5SCJ,SCJ,1PM5FUEL,RQSY,1,4
1PM5,1PM5SCJ,SCJ,1PMTP,RQZYT,6,4
