Container_Type,Train_Number,Leg_ID,Date,Num_Containers
20,2BM4,1,2025-01-06,17
20,2BM4,1,2025-01-13,36
20,2BM4,1,2025-01-20,24
20,2BM4,1,2025-01-27,18
20,2BM4,1,2025-02-03,18
20,2BM4,1,2025-02-10,10
20,2BM4,1,2025-02-17,38
20,2BM4,1,2025-02-24,6
20,2BM4,1,2025-04-07,20
20,2BM4,1,2025-04-21,15
20,2BM4,1,2025-05-12,12
20,2BM4,1,2025-05-19,21
20,2BM4,1,2025-05-26,16
20,2BM4,1,2025-06-09,3
20,2BM4,1,2025-06-16,1
20,2BM4,1,2025-06-23,19
20,2BM4,1,2025-07-07,3
20,2BM4,1,2025-07-14,3
20,2BM4,1,2025-07-28,3
20,2BM4,1,2025-08-04,17
20,2BM4,1,2025-08-11,18
20,2BM4,1,2025-08-18,375
20,2BM4,1,2025-08-25,18
20,2BM4,1,2025-09-15,27
20,2BM4,1,2025-09-22,943
20,2BM4,1,2025-11-03,27
20,2BM4,1,2025-11-10,16
20,2BM4,1,2025-11-17,15
20,2BM4,1,2025-11-24,1
20,2BM4,1,2025-12-08,22
20,2BM4,1,2025-12-15,34
20,2BM4,1,2025-12-22,38
20,2BM4,2,2025-01-06,17
20,2BM4,2,2025-01-13,36
20,2BM4,2,2025-01-20,24
20,2BM4,2,2025-01-27,18
20,2BM4,2,2025-02-03,18
20,2BM4,2,2025-02-10,10
20,2BM4,2,2025-02-17,38
20,2BM4,2,2025-02-24,6
20,2BM4,2,2025-04-07,20
20,2BM4,2,2025-04-21,15
20,2BM4,2,2025-05-12,12
20,2BM4,2,2025-05-19,21
20,2BM4,2,2025-05-26,16
20,2BM4,2,2025-06-09,3
20,2BM4,2,2025-06-16,1
20,2BM4,2,2025-06-23,19
20,2BM4,2,2025-07-07,3
20,2BM4,2,2025-07-14,3
20,2BM4,2,2025-07-28,3
20,2BM4,2,2025-08-04,17
20,2BM4,2,2025-08-11,18
20,2BM4,2,2025-08-18,375
20,2BM4,2,2025-08-25,18
20,2BM4,2,2025-09-15,27
20,2BM4,2,2025-09-22,943
20,2BM4,2,2025-11-03,27
20,2BM4,2,2025-11-10,16
20,2BM4,2,2025-11-17,15
20,2BM4,2,2025-11-24,1
20,2BM4,2,2025-12-08,22
20,2BM4,2,2025-12-15,34
20,2BM4,2,2025-12-22,38
20,2MB4,1,2025-01-13,52
20,2MB4,1,2025-01-20,66
20,2MB4,1,2025-01-27,36
20,2MB4,1,2025-02-03,23
20,2MB4,1,2025-02-10,15
20,2MB4,1,2025-02-17,8
20,2MB4,1,2025-02-24,19
20,2MB4,1,2025-04-07,29
20,2MB4,1,2025-04-14,15
20,2MB4,1,2025-04-21,31
20,2MB4,1,2025-05-05,28
20,2MB4,1,2025-05-12,23
20,2MB4,1,2025-05-19,25
20,2MB4,1,2025-05-26,20
20,2MB4,1,2025-06-16,11
20,2MB4,1,2025-06-23,17
20,2MB4,1,2025-07-07,3
20,2MB4,1,2025-07-14,16
20,2MB4,1,2025-07-21,20
20,2MB4,1,2025-07-28,20
20,2MB4,1,2025-08-04,35
20,2MB4,1,2025-08-11,15
20,2MB4,1,2025-08-18,16
20,2MB4,1,2025-08-25,36
20,2MB4,1,2025-09-08,24
20,2MB4,1,2025-09-15,34
20,2MB4,1,2025-09-22,29
20,2MB4,1,2025-10-06,36
20,2MB4,1,2025-11-03,27
20,2MB4,1,2025-11-10,23
20,2MB4,1,2025-11-17,25
20,2MB4,1,2025-11-24,29
20,2MB4,1,2025-12-08,33
20,2MB4,1,2025-12-15,37
20,2MB4,1,2025-12-22,26
20,2MB4,2,2025-01-13,52
20,2MB4,2,2025-01-20,66
20,2MB4,2,2025-01-27,36
20,2MB4,2,2025-02-03,23
20,2MB4,2,2025-02-10,15
20,2MB4,2,2025-02-17,8
20,2MB4,2,2025-02-24,19
20,2MB4,2,2025-04-07,29
20,2MB4,2,2025-04-14,15
20,2MB4,2,2025-04-21,31
20,2MB4,2,2025-05-05,28
20,2MB4,2,2025-05-12,23
20,2MB4,2,2025-05-19,25
20,2MB4,2,2025-05-26,20
20,2MB4,2,2025-06-16,11
20,2MB4,2,2025-06-23,17
20,2MB4,2,2025-07-07,3
20,2MB4,2,2025-07-14,16
20,2MB4,2,2025-07-21,20
20,2MB4,2,2025-07-28,20
20,2MB4,2,2025-08-04,35
20,2MB4,2,2025-08-11,15
20,2MB4,2,2025-08-18,16
20,2MB4,2,2025-08-25,36
20,2MB4,2,2025-09-08,24
20,2MB4,2,2025-09-15,34
20,2MB4,2,2025-09-22,29
20,2MB4,2,2025-10-06,36
20,2MB4,2,2025-11-03,27
20,2MB4,2,2025-11-10,23
20,2MB4,2,2025-11-17,25
20,2MB4,2,2025-11-24,29
20,2MB4,2,2025-12-08,33
20,2MB4,2,2025-12-15,37
20,2MB4,2,2025-12-22,26
20,3BM4,1,2025-01-07,50
20,3BM4,1,2025-01-14,40
20,3BM4,1,2025-01-21,32
20,3BM4,1,2025-02-04,19
20,3BM4,1,2025-02-11,8
20,3BM4,1,2025-02-18,15
20,3BM4,1,2025-02-25,10
20,3BM4,1,2025-04-08,14
20,3BM4,1,2025-05-27,10
20,3BM4,1,2025-06-24,2
20,3BM4,1,2025-08-05,15
20,3BM4,1,2025-08-19,5
20,3BM4,1,2025-09-09,4
20,3BM4,1,2025-09-16,50
20,3BM4,1,2025-09-23,29
20,3BM4,1,2025-10-07,69
20,3BM4,1,2025-11-04,16
20,3BM4,1,2025-11-11,10
