Week,Day,Time,Day_Time,Terminal,Wagon_Type,Inventory
1,5,8400,20:00,MFT,RQJW,-8
1,5,8430,20:30,MFT,RQJW,-8
1,5,8460,21:00,MFT,RQJW,-8
1,5,8490,21:30,MFT,RQJW,-8
1,5,8520,22:00,MFT,RQJW,-8
1,5,8550,22:30,MFT,RQJW,-8
1,5,8580,23:00,MFT,RQJW,-8
1,5,8610,23:30,MFT,RQJW,-8
1,6,8640,00:00,MFT,RQJW,-8
1,6,8670,00:30,MFT,RQJW,-8
1,6,8700,01:00,MFT,RQJW,-8
1,6,8730,01:30,MFT,RQJW,-8
1,6,8760,02:00,MFT,RQJW,-8
1,6,8790,02:30,MFT,RQJW,-8
1,6,8820,03:00,MFT,RQJW,-8
1,6,8850,03:30,MFT,RQJW,-8
1,6,8880,04:00,MFT,RQJW,-8
1,6,8910,04:30,MFT,RQJW,-8
1,6,8940,05:00,MFT,RQJW,-8
1,6,8970,05:30,MFT,RQJW,-8
1,6,9000,06:00,MFT,RQJW,-8
1,6,9030,06:30,MFT,RQJW,-8
1,6,9060,07:00,MFT,RQJW,-8
1,6,9090,07:30,MFT,RQJW,-8
1,6,9120,08:00,MFT,RQJW,-8
1,6,9150,08:30,MFT,RQJW,-8
1,6,9180,09:00,MFT,RQJW,-8
1,6,9210,09:30,MFT,RQJW,-8
1,6,9240,10:00,MFT,RQJW,-8
1,6,9270,10:30,MFT,RQJW,-8
1,6,9300,11:00,MFT,RQJW,-8
1,6,9330,11:30,MFT,RQJW,-8
1,6,9360,12:00,MFT,RQJW,-8
1,6,9390,12:30,MFT,RQJW,-8
1,6,9420,13:00,MFT,RQJW,-8
1,6,9450,13:30,MFT,RQJW,-4
1,6,9480,14:00,MFT,RQJW,-4
1,6,9510,14:30,MFT,RQJW,-4
1,6,9540,15:00,MFT,RQJW,-4
1,6,9570,15:30,MFT,RQJW,-4
1,6,9600,16:00,MFT,RQJW,-4
1,6,9630,16:30,MFT,RQJW,-4
1,6,9660,17:00,MFT,RQJW,-4
1,6,9690,17:30,MFT,RQJW,-4
1,6,9720,18:00,MFT,RQJW,-4
1,6,9750,18:30,MFT,RQJW,-4
1,6,9780,19:00,MFT,RQJW,-4
1,6,9810,19:30,MFT,RQJW,-4
1,6,9840,20:00,MFT,RQJW,-4
1,6,9870,20:30,MFT,RQJW,-4
1,6,9900,21:00,MFT,RQJW,-4
1,6,9930,21:30,MFT,RQJW,-4
1,6,9960,22:00,MFT,RQJW,-4
1,6,9990,22:30,MFT,RQJW,-4
1,6,10020,23:00,MFT,RQJW,-4
1,6,10050,23:30,MFT,RQJW,-4
1,0,0,00:00,MFT,RRAY,0
1,0,30,00:30,MFT,RRAY,0
1,0,60,01:00,MFT,RRAY,0
1,0,90,01:30,MFT,RRAY,0
1,0,120,02:00,MFT,RRAY,0
1,0,150,02:30,MFT,RRAY,0
1,0,180,03:00,MFT,RRAY,0
1,0,210,03:30,MFT,RRAY,0
1,0,240,04:00,MFT,RRAY,0
1,0,270,04:30,MFT,RRAY,0
1,0,300,05:00,MFT,RRAY,0
1,0,330,05:30,MFT,RRAY,0
1,0,360,06:00,MFT,RRAY,0
1,0,390,06:30,MFT,RRAY,0
1,0,420,07:00,MFT,RRAY,0
1,0,450,07:30,MFT,RRAY,0
1,0,480,08:00,MFT,RRAY,0
1,0,510,08:30,MFT,RRAY,0
1,0,540,09:00,MFT,RRAY,0
1,0,570,09:30,MFT,RRAY,0
1,0,600,10:00,MFT,RRAY,0
1,0,630,10:30,MFT,RRAY,0
1,0,660,11:00,MFT,RRAY,0
1,0,690,11:30,MFT,RRAY,0
1,0,720,12:00,MFT,RRAY,0
1,0,750,12:30,MFT,RRAY,0
1,0,780,13:00,MFT,RRAY,0
1,0,810,13:30,MFT,RRAY,0
1,0,840,14:00,MFT,RRAY,0
1,0,870,14:30,MFT,RRAY,0
1,0,900,15:00,MFT,RRAY,0
1,0,930,15:30,MFT,RRAY,0
1,0,960,16:00,MFT,RRAY,0
1,0,990,16:30,MFT,RRAY,0
1,0,1020,17:00,MFT,RRAY,0
1,0,1050,17:30,MFT,RRAY,0
1,0,1080,18:00,MFT,RRAY,0
1,0,1110,18:30,MFT,RRAY,0
1,0,1140,19:00,MFT,RRAY,0
1,0,1170,19:30,MFT,RRAY,0
1,0,1200,20:00,MFT,RRAY,0
1,0,1230,20:30,MFT,RRAY,0
1,0,1260,21:00,MFT,RRAY,0
1,0,1290,21:30,MFT,RRAY,0
1,0,1320,22:00,MFT,RRAY,0
1,0,1350,22:30,MFT,RRAY,0
1,0,1380,23:00,MFT,RRAY,0
1,0,1410,23:30,MFT,RRAY,0
1,1,1440,00:00,MFT,RRAY,0
1,1,1470,00:30,MFT,RRAY,0
1,1,1500,01:00,MFT,RRAY,0
1,1,1530,01:30,MFT,RRAY,0
1,1,1560,02:00,MFT,RRAY,0
1,1,1590,02:30,MFT,RRAY,0
1,1,1620,03:00,MFT,RRAY,0
1,1,1650,03:30,MFT,RRAY,0
1,1,1680,04:00,MFT,RRAY,0
1,1,1710,04:30,MFT,RRAY,0
