TRAIN_NAME,TRAIN,ORIGIN,DEP_TIME,DEP_DAY,ARR_TIME,ARR_DAY,DESTINATION,LEG_NUM
6MP5,6mp5AFT,AFT,17:40:00,Saturday,17:40:00,Saturday,SCJ,3
6MP5,6mp5SCJ,SCJ,23:45:00,Saturday,23:45:00,Monday,PFT,4
6MP6,6mp6MFT,MFT,1:00:00,Friday,1:00:00,Friday,AFT,1
6MP6,6mp6AFT,AFT,15:30:00,Friday,15:30:00,Friday,SCJ,2
6MP6,6mp6SCJ,SCJ,22:05:00,Friday,22:05:00,Sunday,PFT,3
6MS2,6ms2MFT,MFT,18:25:00,Friday,18:25:00,Friday,ETT,1
6MS2,6ms2ETT,ETT,22:33:00,Friday,22:33:00,Saturday,SFT,2
6MX4,6mx4MFT,MFT,13:25:00,Friday,13:25:00,Saturday,AFT,1
6MX4,6mx4AFT,AFT,8:30:00,Saturday,8:30:00,Saturday,SCJ,2
6NY3,6NY3MOR,MOR,6:27:00,Friday,6:27:00,Friday,SFT,1
6NY3,6NY3SFT,SFT,12:25:00,Friday,12:25:00,Friday,GBJ,2
6NY3,6NY3GBJ,GBJ,1:30:00,Saturday,1:30:00,Saturday,BHQ,3
6NY3,6NY3BHQ,BHQ,18:15:00,Saturday,18:15:00,Sunday,SCJ,4
6NY3,6NY3SCJ,SCJ,5:30:00,Sunday,5:30:00,Sunday,WHY,5
6P50,6P50PFT,PFT,7:00:00,Friday,7:00:00,Friday,SSK,1
6P51,6P51SSK,SSK,8:00:00,Friday,8:00:00,Friday,PFT,1
6PM5,6pm5PFT,PFT,10:55:00,Friday,10:55:00,Sunday,SCJ,1
6PM5,6pm5SCJ,SCJ,2:20:00,Sunday,2:20:00,Sunday,AFT,2
6PM5,6pm5AFT,AFT,11:20:00,Sunday,11:20:00,Sunday,TLB,3
6PM5,6pm5TLB,TLB,14:17:00,Sunday,14:17:00,Monday,MFT,4
6PM6,6pm6PFT,PFT,23:59:00,Friday,23:59:00,Sunday,SCJ,1
6PM6,6pm6SCJ,SCJ,20:15:00,Sunday,20:15:00,Monday,AFT,2
6PM6,6pm6AFT,AFT,5:45:00,Monday,5:45:00,Monday,TLB,3
6PM6,6pm6TLB,TLB,10:45:00,Monday,10:45:00,Monday,MFT,4
6PM7,6pm7PFT,PFT,22:20:00,Friday,22:20:00,Sunday,SCJ,1
6PM7,6pm7SCJ,SCJ,9:40:00,Sunday,9:40:00,Sunday,AFT,2
6PM7,6pm7AFT,AFT,15:00:00,Sunday,15:00:00,Sunday,TLB,3
6PM7,6pm7TLB,TLB,17:24:00,Sunday,17:24:00,Monday,MFT,4
6PS7,6PS7PFT,PFT,20:00:00,Friday,20:00:00,Sunday,SCJ,1
6PS7,6PS7SCJ,SCJ,7:50:00,Sunday,7:50:00,Sunday,GBJ,2
6PS7,6PS7GBJ,GBJ,2:12:00,Monday,2:12:00,Monday,SFT,3
6SB1,6SB1SFT,SFT,12:55:00,Friday,12:55:00,Saturday,BFT,1
6SM2,6sm2SFT,SFT,16:00:00,Friday,16:00:00,Saturday,ETT,1
6SM2,6sm2ETT,ETT,3:07:00,Saturday,3:07:00,Saturday,MFT,2
6SM5,6SM5SFT,SFT,15:00:00,Friday,15:00:00,Friday,ETT,1
6SM5,6SM5SFT,ETT,16:50:00,Friday,16:50:00,Saturday,MFT,2
6SP5,6sp5SFT,SFT,1:15:00,Friday,1:15:00,Friday,GBJ,1
6SP5,6sp5GBJ,GBJ,11:20:00,Friday,11:20:00,Saturday,SCJ,2
6SP5,6sp5SCJ,SCJ,6:30:00,Saturday,6:30:00,Sunday,PFT,3
6SP7,6sp7SFT,SFT,20:45:00,Friday,20:45:00,Saturday,GBJ,1
6SP7,6sp7GBJ,GBJ,7:45:00,Saturday,7:45:00,Saturday,SCJ,2
6SP7,6sp7SCJ,SCJ,20:50:00,Saturday,20:50:00,Monday,PFT,3
7AM5,7am5AFT,AFT,20:15:00,Saturday,20:15:00,Saturday,TLB,1
7AM5,7am5TLB,TLB,23:22:00,Saturday,23:22:00,Sunday,MFT,2
7BM2,7bm2BFT,BFT,22:00:00,Saturday,22:00:00,Sunday,MOR,1
7BM2,7bm2MOR,MOR,16:19:00,Sunday,16:19:00,Sunday,SFT,2
7BM2,7bm2SFT,SFT,22:30:00,Sunday,22:30:00,Monday,ETT,3
7BM2,7bm2ETT,ETT,9:29:00,Monday,9:29:00,Monday,MFT,4
