DATE,OD_PAIR,NUM_BOXES
1/01/2025,WQX-TVT,24.93
1/01/2025,ASP-WEK,0.34
1/01/2025,BRT-AFT,1.93
1/01/2025,ETT-ROK,0.34
1/01/2025,MFT-PLT,1.01
1/01/2025,MOR-SFT,7.1
1/01/2025,PFT-WEK,2.53
1/01/2025,SFT-ETT,67.94
1/01/2025,SFT-GBJ,0.34
1/01/2025,SFT-MOR,10.48
1/01/2025,SFT-PLT,2.87
1/01/2025,SFT-TEC,0.17
1/01/2025,PFT-AFT,2377.18
1/01/2025,PFT-ASP,23.12
1/01/2025,PFT-BRT,212.77
1/01/2025,PFT-KAH,9.54
1/01/2025,PFT-TEC,0.38
1/01/2025,WEK-AFT,1.82
1/01/2025,WEK-BRT,0.08
1/01/2025,PFT-BFT,912.58
1/01/2025,PFT-GLT,7.6
1/01/2025,PFT-MKY,5.02
1/01/2025,PFT-ROK,47.84
1/01/2025,PFT-TVT,11.56
1/01/2025,PFT-WQX,9.55
1/01/2025,WEK-BFT,37.81
1/01/2025,WEK-GLT,0.1
1/01/2025,WEK-MER,0.1
1/01/2025,WEK-MKY,0.1
1/01/2025,WEK-TVT,0.49
1/01/2025,WEK-WQX,0.1
1/01/2025,PFT-MFT,6548.09
1/01/2025,WEK-MFT,25.56
1/01/2025,PFT-GBJ,274.74
1/01/2025,PFT-MOR,18.67
1/01/2025,PFT-PLT,1.11
1/01/2025,PFT-SFT,2948.16
1/01/2025,WEK-MOR,0.2
1/01/2025,WEK-SFT,12.95
1/01/2025,GBJ-AFT,53.68
1/01/2025,MOR-AFT,49.15
1/01/2025,MOR-ASP,0.36
1/01/2025,MOR-BRT,3.45
1/01/2025,MOR-KAH,1.22
1/01/2025,SFT-AFT,231.85
1/01/2025,SFT-ASP,6.18
1/01/2025,SFT-BRT,72.99
1/01/2025,SFT-KAH,1.8
1/01/2025,ETT-BFT,28.9
1/01/2025,ETT-GLT,0.49
1/01/2025,ETT-MKY,0.42
1/01/2025,ETT-SFT,29.32
1/01/2025,ETT-TVT,3.3
1/01/2025,ETT-WQX,0.14
1/01/2025,GBJ-BFT,5.56
1/01/2025,MOR-BFT,21.8
1/01/2025,MOR-GLT,0.56
1/01/2025,MOR-MKY,3.59
1/01/2025,MOR-ROK,4.5
1/01/2025,MOR-TVT,49.85
1/01/2025,MOR-WQX,5.77
1/01/2025,SFT-BFT,528.67
1/01/2025,SFT-GLT,17.44
1/01/2025,SFT-IFL,0
1/01/2025,SFT-MBT,0.21
1/01/2025,SFT-MKY,34.66
1/01/2025,SFT-ROK,11.11
1/01/2025,SFT-TVT,71.43
1/01/2025,SFT-WQX,26.08
1/01/2025,MOR-MFT,97.34
1/01/2025,SFT-MFT,695.91
1/01/2025,GBJ-PFT,276.45
1/01/2025,MOR-PFT,96.03
1/01/2025,PLT-PFT,1.55
1/01/2025,SFT-PFT,3330.41
1/01/2025,SFT-WEK,14.73
1/02/2025,AFT-BFT,365.41
1/02/2025,AFT-GBJ,77.52
1/02/2025,AFT-GLT,0.59
1/02/2025,AFT-MFT,1187.77
1/02/2025,AFT-MKY,1.76
1/02/2025,AFT-MOR,17.9
1/02/2025,AFT-PFT,1711.49
1/02/2025,AFT-PLT,0.07
1/02/2025,AFT-ROK,0.75
1/02/2025,AFT-SFT,537.18
1/02/2025,AFT-TVT,7.45
1/02/2025,AFT-WEK,3.73
1/02/2025,AFT-WQX,6.19
1/02/2025,ASP-BFT,3.51
1/02/2025,ASP-MFT,98.27
1/02/2025,ASP-MOR,0.59
1/02/2025,ASP-PFT,1.33
1/02/2025,ASP-SFT,23.63
1/02/2025,BFT-AFT,275.51
1/02/2025,BFT-ASP,2.08
1/02/2025,BFT-BOT,4.34
1/02/2025,BFT-BRT,4.32
1/02/2025,BFT-ETT,25.45
1/02/2025,BFT-KAH,0.57
1/02/2025,BRT-BFT,3.1
1/02/2025,BFT-MFT,4060.72
1/02/2025,BFT-MOR,14.8
1/02/2025,BFT-PFT,801.53
1/02/2025,BFT-PLT,0.15
1/02/2025,KAH-BFT,0.08
1/02/2025,BFT-SFT,580.88
1/02/2025,BFT-WEK,20.27
1/02/2025,BRT-MFT,241.8
1/02/2025,BRT-MOR,4.45
1/02/2025,BRT-PFT,17.21
1/02/2025,BRT-SFT,53.59
1/02/2025,GLT-AFT,1.65
1/02/2025,GLT-ETT,0.37
1/02/2025,GLT-MFT,44.77
1/02/2025,GLT-MOR,0.12
1/02/2025,GLT-PFT,4.05
1/02/2025,GLT-SFT,2.97
1/02/2025,KAH-MFT,5.95
1/02/2025,MKY-AFT,2.08
1/02/2025,MKY-BRT,0.07
1/02/2025,MKY-ETT,0.56
1/02/2025,MKY-MFT,17.41
1/02/2025,MKY-MOR,0.93
1/02/2025,MKY-PFT,3.41
1/02/2025,MKY-SFT,3.22
1/02/2025,ROK-AFT,0.43
1/02/2025,ROK-BRT,0.14
1/02/2025,TVT-AFT,9.7
1/02/2025,TVT-ASP,0.07
1/02/2025,WQX-AFT,4.24
1/02/2025,WQX-ASP,0.22
1/02/2025,ROK-MFT,2.28
1/02/2025,ROK-MOR,0.25
1/02/2025,ROK-PFT,6.2
1/02/2025,ROK-SFT,2.54
1/02/2025,TVT-MFT,45.63
1/02/2025,WQX-MFT,21.28
1/02/2025,TVT-PFT,13.77
1/02/2025,TVT-WEK,0.13
1/02/2025,WQX-PFT,6.44
1/02/2025,WQX-WEK,0.06
1/02/2025,TVT-ETT,3.72
1/02/2025,TVT-MOR,36.6
1/02/2025,TVT-SFT,45.09
1/02/2025,WQX-ETT,0.87
1/02/2025,WQX-MOR,1.36
1/02/2025,WQX-SFT,15.24
1/02/2025,MFT-AFT,757.21
1/02/2025,MFT-ASP,27.23
1/02/2025,MFT-BRT,235.18
1/02/2025,MFT-KAH,4.24
1/02/2025,MFT-TEC,0.27
1/02/2025,MFT-WHY,3.43
1/02/2025,PLT-AFT,0.07
1/02/2025,MFT-BFT,4404.19
1/02/2025,MFT-GLT,36.6
1/02/2025,MFT-IFL,0.36
1/02/2025,MFT-MBT,0.14
1/02/2025,MFT-MER,0.5
1/02/2025,MFT-MKY,28.08
1/02/2025,MFT-ROK,7.38
1/02/2025,MFT-TVT,65.89
1/02/2025,MFT-WQX,28.51
1/02/2025,PLT-BFT,0.14
1/02/2025,MFT-PFT,7556.35
1/02/2025,MFT-WEK,29.4
1/02/2025,APD-GRF,1.12
1/02/2025,MFT-ETT,0.05
1/02/2025,MFT-MOR,23.63
1/02/2025,MFT-SFT,617.13
1/02/2025,PLT-SFT,0.32
1/02/2025,GLT-MBT,260.34
1/02/2025,GLT-MKY,130.05
1/02/2025,GLT-PLT,0.07
1/02/2025,GLT-TSJ,35.26
1/02/2025,GLT-TVT,115.08
1/02/2025,GLT-WQX,79.01
1/02/2025,IFL-MBT,89.4
1/02/2025,IFL-TVT,0.3
1/02/2025,IFL-WQX,0.07
1/02/2025,MBT-GLT,150.37
1/02/2025,MBT-IFL,70.42
1/02/2025,MBT-MER,164.1
1/02/2025,MBT-MKY,739.97
1/02/2025,MBT-ROK,250.51
1/02/2025,MBT-TSJ,138.23
1/02/2025,MBT-TVT,2069.03
1/02/2025,MBT-WQX,1453.73
1/02/2025,MER-GLT,0.18
1/02/2025,MER-MBT,167.39
1/02/2025,MKY-GLT,133.69
1/02/2025,MKY-MBT,750.8
1/02/2025,MKY-ROK,0.22
1/02/2025,MKY-TVT,12.13
1/02/2025,MKY-WQX,1.86
1/02/2025,ROK-IFL,0.25
1/02/2025,ROK-MBT,267.14
1/02/2025,ROK-MER,1.47
1/02/2025,ROK-MKY,1.1
1/02/2025,ROK-TSJ,107.21
1/02/2025,ROK-TVT,26.32
1/02/2025,ROK-WEK,0.15
1/02/2025,ROK-WQX,44.73
1/02/2025,TSJ-GLT,0.07
1/02/2025,TSJ-TVT,1.34
1/02/2025,TSJ-WQX,93.81
1/02/2025,TVT-BFT,0.15
1/02/2025,TVT-GLT,262.99
1/02/2025,TVT-IFL,0.07
1/02/2025,TVT-MBT,2045.78
1/02/2025,TVT-MKY,40.77
1/02/2025,TVT-ROK,149.63
1/02/2025,TVT-TSJ,12.57
1/02/2025,TVT-WQX,22.05
1/02/2025,WQX-GLT,76.41
1/02/2025,WQX-IFL,15.85
1/02/2025,WQX-MBT,1362.35
1/02/2025,WQX-MKY,2.75
1/02/2025,WQX-ROK,40.32
1/02/2025,WQX-TSJ,93.67
1/02/2025,WQX-TVT,26.07
1/02/2025,ASP-WEK,0.31
1/02/2025,BRT-AFT,1.76
1/02/2025,ETT-ROK,0.31
1/02/2025,MFT-PLT,0.93
1/02/2025,MOR-SFT,6.5
1/02/2025,PFT-WEK,2.32
1/02/2025,SFT-ETT,62.21
1/02/2025,SFT-GBJ,0.31
1/02/2025,SFT-MOR,9.59
1/02/2025,SFT-PLT,2.63
1/02/2025,SFT-TEC,0.15
1/02/2025,PFT-AFT,2170.32
1/02/2025,PFT-ASP,21.11
1/02/2025,PFT-BRT,194.26
1/02/2025,PFT-KAH,8.71
1/02/2025,PFT-TEC,0.35
1/02/2025,WEK-AFT,1.66
1/02/2025,WEK-BRT,0.07
1/02/2025,PFT-BFT,840.57
1/02/2025,PFT-GLT,7
1/02/2025,PFT-MKY,4.63
1/02/2025,PFT-ROK,44.06
1/02/2025,PFT-TVT,10.65
1/02/2025,PFT-WQX,8.8
1/02/2025,WEK-BFT,34.83
1/02/2025,WEK-GLT,0.09
1/02/2025,WEK-MER,0.09
1/02/2025,WEK-MKY,0.09
1/02/2025,WEK-TVT,0.45
1/02/2025,WEK-WQX,0.09
1/02/2025,PFT-MFT,5819.31
1/02/2025,WEK-MFT,22.71
1/02/2025,PFT-GBJ,272.47
1/02/2025,PFT-MOR,18.52
1/02/2025,PFT-PLT,1.1
1/02/2025,PFT-SFT,2923.83
1/02/2025,WEK-MOR,0.19
1/02/2025,WEK-SFT,12.84
1/02/2025,GBJ-AFT,51
1/02/2025,MOR-AFT,46.7
1/02/2025,MOR-ASP,0.34
1/02/2025,MOR-BRT,3.28
1/02/2025,MOR-KAH,1.16
1/02/2025,SFT-AFT,220.28
1/02/2025,SFT-ASP,5.87
1/02/2025,SFT-BRT,69.35
1/02/2025,SFT-KAH,1.71
1/02/2025,ETT-BFT,24.15
1/02/2025,ETT-GLT,0.41
1/02/2025,ETT-MKY,0.35
1/02/2025,ETT-SFT,24.5
1/02/2025,ETT-TVT,2.76
1/02/2025,ETT-WQX,0.12
1/02/2025,GBJ-BFT,4.65
1/02/2025,MOR-BFT,18.21
1/02/2025,MOR-GLT,0.47
1/02/2025,MOR-MKY,3
1/02/2025,MOR-ROK,3.76
1/02/2025,MOR-TVT,41.65
1/02/2025,MOR-WQX,4.82
1/02/2025,SFT-BFT,441.74
1/02/2025,SFT-GLT,14.57
1/02/2025,SFT-IFL,0
1/02/2025,SFT-MBT,0.18
1/02/2025,SFT-MKY,28.96
1/02/2025,SFT-ROK,9.28
1/02/2025,SFT-TVT,59.69
1/02/2025,SFT-WQX,21.8
1/02/2025,MOR-MFT,102.27
1/02/2025,SFT-MFT,731.16
1/02/2025,GBJ-PFT,274.01
1/02/2025,MOR-PFT,95.18
1/02/2025,PLT-PFT,1.53
1/02/2025,SFT-PFT,3301.08
1/02/2025,SFT-WEK,14.6
1/03/2025,AFT-BFT,305.25
1/03/2025,AFT-GBJ,79.07
1/03/2025,AFT-GLT,0.49
1/03/2025,AFT-MFT,1397.03
1/03/2025,AFT-MKY,1.47
1/03/2025,AFT-MOR,18.25
1/03/2025,AFT-PFT,2058.48
1/03/2025,AFT-PLT,0.09
1/03/2025,AFT-ROK,0.63
1/03/2025,AFT-SFT,547.85
1/03/2025,AFT-TVT,6.22
1/03/2025,AFT-WEK,4.49
1/03/2025,AFT-WQX,5.17
1/03/2025,ASP-BFT,2.94
1/03/2025,ASP-MFT,115.58
1/03/2025,ASP-MOR,0.61
1/03/2025,ASP-PFT,1.6
1/03/2025,ASP-SFT,24.1
1/03/2025,BFT-AFT,264.71
1/03/2025,BFT-ASP,2
1/03/2025,BFT-BOT,3.07
1/03/2025,BFT-BRT,4.15
1/03/2025,BFT-ETT,18.01
1/03/2025,BFT-KAH,0.55
1/03/2025,BRT-BFT,2.59
1/03/2025,BFT-MFT,3465.31
1/03/2025,BFT-MOR,10.47
1/03/2025,BFT-PFT,725.05
1/03/2025,BFT-PLT,0.13
1/03/2025,KAH-BFT,0.07
1/03/2025,BFT-SFT,411.03
1/03/2025,BFT-WEK,18.34
1/03/2025,BRT-MFT,284.4
1/03/2025,BRT-MOR,4.54
1/03/2025,BRT-PFT,20.7
1/03/2025,BRT-SFT,54.66
1/03/2025,GLT-AFT,1.59
1/03/2025,GLT-ETT,0.26
1/03/2025,GLT-MFT,38.2
1/03/2025,GLT-MOR,0.09
1/03/2025,GLT-PFT,3.67
1/03/2025,GLT-SFT,2.1
1/03/2025,KAH-MFT,7
1/03/2025,MKY-AFT,2
1/03/2025,MKY-BRT,0.07
1/03/2025,MKY-ETT,0.39
1/03/2025,MKY-MFT,14.85
1/03/2025,MKY-MOR,0.66
1/03/2025,MKY-PFT,3.09
1/03/2025,MKY-SFT,2.28
1/03/2025,ROK-AFT,0.41
1/03/2025,ROK-BRT,0.14
1/03/2025,TVT-AFT,9.32
1/03/2025,TVT-ASP,0.07
1/03/2025,WQX-AFT,4.07
1/03/2025,WQX-ASP,0.21
1/03/2025,ROK-MFT,1.95
1/03/2025,ROK-MOR,0.18
1/03/2025,ROK-PFT,5.61
1/03/2025,ROK-SFT,1.8
1/03/2025,TVT-MFT,38.94
1/03/2025,WQX-MFT,18.16
1/03/2025,TVT-PFT,12.46
1/03/2025,TVT-WEK,0.12
1/03/2025,WQX-PFT,5.82
1/03/2025,WQX-WEK,0.06
1/03/2025,TVT-ETT,2.63
1/03/2025,TVT-MOR,25.9
1/03/2025,TVT-SFT,31.9
1/03/2025,WQX-ETT,0.61
1/03/2025,WQX-MOR,0.96
1/03/2025,WQX-SFT,10.78
1/03/2025,MFT-AFT,746.97
1/03/2025,MFT-ASP,26.86
1/03/2025,MFT-BRT,232
1/03/2025,MFT-KAH,4.18
1/03/2025,MFT-TEC,0.27
1/03/2025,MFT-WHY,3.39
1/03/2025,PLT-AFT,0.07
1/03/2025,MFT-BFT,3766.15
1/03/2025,MFT-GLT,31.3
1/03/2025,MFT-IFL,0.31
1/03/2025,MFT-MBT,0.12
1/03/2025,MFT-MER,0.43
1/03/2025,MFT-MKY,24.01
1/03/2025,MFT-ROK,6.31
1/03/2025,MFT-TVT,56.35
1/03/2025,MFT-WQX,24.38
1/03/2025,PLT-BFT,0.12
1/03/2025,MFT-PFT,9353.25
1/03/2025,MFT-WEK,36.4
1/03/2025,APD-GRF,0.87
1/03/2025,MFT-ETT,0.04
1/03/2025,MFT-MOR,18.45
1/03/2025,MFT-SFT,481.84
1/03/2025,PLT-SFT,0.25
1/03/2025,GLT-MBT,277.81
1/03/2025,GLT-MKY,138.77
1/03/2025,GLT-PLT,0.08
1/03/2025,GLT-TSJ,37.63
1/03/2025,GLT-TVT,122.8
1/03/2025,GLT-WQX,84.31
1/03/2025,IFL-MBT,95.39
1/03/2025,IFL-TVT,0.32
1/03/2025,IFL-WQX,0.08
1/03/2025,MBT-GLT,160.46
1/03/2025,MBT-IFL,75.15
1/03/2025,MBT-MER,175.11
1/03/2025,MBT-MKY,789.61
1/03/2025,MBT-ROK,267.32
1/03/2025,MBT-TSJ,147.5
1/03/2025,MBT-TVT,2207.85
1/03/2025,MBT-WQX,1551.26
1/03/2025,MER-GLT,0.19
1/03/2025,MER-MBT,178.62
1/03/2025,MKY-GLT,142.66
1/03/2025,MKY-MBT,801.17
1/03/2025,MKY-ROK,0.24
1/03/2025,MKY-TVT,12.94
1/03/2025,MKY-WQX,1.98
1/03/2025,ROK-IFL,0.27
1/03/2025,ROK-MBT,285.07
1/03/2025,ROK-MER,1.57
1/03/2025,ROK-MKY,1.17
1/03/2025,ROK-TSJ,114.4
1/03/2025,ROK-TVT,28.09
1/03/2025,ROK-WEK,0.16
1/03/2025,ROK-WQX,47.74
1/03/2025,TSJ-GLT,0.08
1/03/2025,TSJ-TVT,1.43
1/03/2025,TSJ-WQX,100.11
1/03/2025,TVT-BFT,0.16
1/03/2025,TVT-GLT,280.64
1/03/2025,TVT-IFL,0.08
1/03/2025,TVT-MBT,2183.03
1/03/2025,TVT-MKY,43.5
1/03/2025,TVT-ROK,159.67
1/03/2025,TVT-TSJ,13.42
1/03/2025,TVT-WQX,23.53
1/03/2025,WQX-GLT,81.53
1/03/2025,WQX-IFL,16.91
1/03/2025,WQX-MBT,1453.75
1/03/2025,WQX-MKY,2.94
1/03/2025,WQX-ROK,43.03
1/03/2025,WQX-TSJ,99.95
1/03/2025,WQX-TVT,27.82
1/03/2025,ASP-WEK,0.36
1/03/2025,BRT-AFT,2.05
1/03/2025,ETT-ROK,0.36
1/03/2025,MFT-PLT,1.08
1/03/2025,MOR-SFT,7.57
1/03/2025,PFT-WEK,2.7
1/03/2025,SFT-ETT,72.45
1/03/2025,SFT-GBJ,0.36
1/03/2025,SFT-MOR,11.17
1/03/2025,SFT-PLT,3.06
1/03/2025,SFT-TEC,0.18
1/03/2025,PFT-AFT,3047.14
1/03/2025,PFT-ASP,29.63
1/03/2025,PFT-BRT,272.74
1/03/2025,PFT-KAH,12.23
1/03/2025,PFT-TEC,0.49
1/03/2025,WEK-AFT,2.33
1/03/2025,WEK-BRT,0.1
1/03/2025,PFT-BFT,918.38
1/03/2025,PFT-GLT,7.65
1/03/2025,PFT-MKY,5.05
1/03/2025,PFT-ROK,48.14
1/03/2025,PFT-TVT,11.63
1/03/2025,PFT-WQX,9.61
1/03/2025,WEK-BFT,38.06
1/03/2025,WEK-GLT,0.1
1/03/2025,WEK-MER,0.1
1/03/2025,WEK-MKY,0.1
1/03/2025,WEK-TVT,0.5
1/03/2025,WEK-WQX,0.1
1/03/2025,PFT-MFT,7409.06
1/03/2025,WEK-MFT,28.92
1/03/2025,PFT-GBJ,328.58
1/03/2025,PFT-MOR,22.33
1/03/2025,PFT-PLT,1.32
1/03/2025,PFT-SFT,3525.91
1/03/2025,WEK-MOR,0.23
1/03/2025,WEK-SFT,15.48
1/03/2025,GBJ-AFT,44.06
1/03/2025,MOR-AFT,40.35
1/03/2025,MOR-ASP,0.29
1/03/2025,MOR-BRT,2.83
1/03/2025,MOR-KAH,1
1/03/2025,SFT-AFT,190.32
1/03/2025,SFT-ASP,5.07
1/03/2025,SFT-BRT,59.92
1/03/2025,SFT-KAH,1.47
1/03/2025,ETT-BFT,15.01
1/03/2025,ETT-GLT,0.26
1/03/2025,ETT-MKY,0.22
1/03/2025,ETT-SFT,15.23
1/03/2025,ETT-TVT,1.72
1/03/2025,ETT-WQX,0.07
1/03/2025,GBJ-BFT,2.89
1/03/2025,MOR-BFT,11.32
1/03/2025,MOR-GLT,0.29
1/03/2025,MOR-MKY,1.86
1/03/2025,MOR-ROK,2.34
1/03/2025,MOR-TVT,25.89
1/03/2025,MOR-WQX,2.99
1/03/2025,SFT-BFT,274.56
1/03/2025,SFT-GLT,9.06
1/03/2025,SFT-IFL,0
1/03/2025,SFT-MBT,0.11
1/03/2025,SFT-MKY,18
1/03/2025,SFT-ROK,5.77
1/03/2025,SFT-TVT,37.1
1/03/2025,SFT-WQX,13.55
1/03/2025,MOR-MFT,81.75
1/03/2025,SFT-MFT,584.5
1/03/2025,GBJ-PFT,338.34
1/03/2025,MOR-PFT,117.53
1/03/2025,PLT-PFT,1.89
1/03/2025,SFT-PFT,4075.97
1/03/2025,SFT-WEK,18.02
1/04/2025,AFT-BFT,348.32
1/04/2025,AFT-GBJ,78.79
1/04/2025,AFT-GLT,0.56
1/04/2025,AFT-MFT,1414.72
1/04/2025,AFT-MKY,1.67
1/04/2025,AFT-MOR,18.19
1/04/2025,AFT-PFT,1656.46
1/04/2025,AFT-PLT,0.09
1/04/2025,AFT-ROK,0.72
1/04/2025,AFT-SFT,545.95
1/04/2025,AFT-TVT,7.1
1/04/2025,AFT-WEK,3.61
1/04/2025,AFT-WQX,5.9
1/04/2025,ASP-BFT,3.35
1/04/2025,ASP-MFT,117.04
1/04/2025,ASP-MOR,0.6
1/04/2025,ASP-PFT,1.29
1/04/2025,ASP-SFT,24.02
1/04/2025,BFT-AFT,322.63
1/04/2025,BFT-ASP,2.44
1/04/2025,BFT-BOT,3.94
1/04/2025,BFT-BRT,5.06
1/04/2025,BFT-ETT,23.15
1/04/2025,BFT-KAH,0.67
1/04/2025,BRT-BFT,2.95
1/04/2025,BFT-MFT,3987.34
1/04/2025,BFT-MOR,13.46
1/04/2025,BFT-PFT,1073.91
1/04/2025,BFT-PLT,0.15
1/04/2025,KAH-BFT,0.08
1/04/2025,BFT-SFT,528.31
1/04/2025,BFT-WEK,27.16
1/04/2025,BRT-MFT,288
1/04/2025,BRT-MOR,4.52
1/04/2025,BRT-PFT,16.66
1/04/2025,BRT-SFT,54.47
1/04/2025,GLT-AFT,1.93
1/04/2025,GLT-ETT,0.34
1/04/2025,GLT-MFT,43.96
1/04/2025,GLT-MOR,0.11
1/04/2025,GLT-PFT,5.43
1/04/2025,GLT-SFT,2.7
1/04/2025,KAH-MFT,7.09
1/04/2025,MKY-AFT,2.44
1/04/2025,MKY-BRT,0.08
