TRAIN_ID,TRAIN,TERMINAL,ARR_TIME,DEP_TIME,LEG_NUM,CORRIDOR
4MS2,1bm2SFT,SFT,9/01/2025 8:25,,3,MEL-SYD
4MS4,4ms4MFT,MFT,,8/01/2025 13:00,1,MEL-SYD
4MS4,4ms4ETT,ETT,8/01/2025 16:20,8/01/2025 16:50,2,MEL-SYD
4MS4,1bm2SFT,SFT,9/01/2025 3:32,,3,MEL-SYD
4PM4,4pm4PFT,PFT,,8/01/2025 22:45,1,MEL-PER
4PM4,4pm4WEK,WEK,9/01/2025 10:35,9/01/2025 11:40,2,MEL-PER
4PM4,4pm4SCJ,SCJ,10/01/2025 20:15,11/01/2025 17:05,3,MEL-PER
4PM4,4pm4AFT,AFT,11/01/2025 22:48,5/01/2025 1:40,4,MEL-PER
4PM4,4pm4TLB,TLB,5/01/2025 4:47,5/01/2025 5:47,5,MEL-PER
4PM4,1bm2MFT,MFT,5/01/2025 16:40,,6,MEL-PER
4PM6,4PM6PFT,PFT,,8/01/2025 21:00,1,MEL-PER
4PM6,4PM6WEK,WEK,9/01/2025 7:55,9/01/2025 9:00,2,MEL-PER
4PM6,4PM6SCJ,SCJ,10/01/2025 13:02,10/01/2025 18:25,3,MEL-PER
4PM6,4PM6AFT,AFT,11/01/2025 0:20,11/01/2025 5:10,4,MEL-PER
4PM6,4PM6TLB,TLB,11/01/2025 10:28,11/01/2025 11:10,5,MEL-PER
4PM6,1bm2MFT,MFT,11/01/2025 22:30,,6,MEL-PER
4SM2,4sm2SFT,SFT,,8/01/2025 17:30,1,MEL-SYD
4SM2,4sm2ETT,ETT,9/01/2025 3:02,9/01/2025 3:02,2,MEL-SYD
4SM2,1bm2MFT,MFT,9/01/2025 7:00,,3,MEL-SYD
4SM5,4SM5SFT,SFT,,8/01/2025 15:30,1,MEL-SYD
4SM5,4SM5ETT,ETT,9/01/2025 2:00,9/01/2025 2:30,2,MEL-SYD
4SM5,1bm2MFT,MFT,9/01/2025 6:40,,3,MEL-SYD
5AM5,5am5AFT,AFT,,9/01/2025 18:55,1,MEL-ADL
5AM5,5am5TLB,TLB,9/01/2025 21:32,9/01/2025 22:02,2,MEL-ADL
5AM5,1bm2MFT,MFT,10/01/2025 8:40,,3,MEL-ADL
5BM4,5bm4BFT,BFT,,9/01/2025 19:20,1,MEL-BRI
5BM4,5bm4SFT,SFT,10/01/2025 12:30,10/01/2025 13:10,2,MEL-BRI
5BM4,1bm2MFT,MFT,11/01/2025 3:30,,3,MEL-BRI
5MA3,5ma3APD,APD,,9/01/2025 23:55,1,MEL-ADL
5MA3,5ma3TLB,TLB,10/01/2025 10:55,10/01/2025 11:15,2,MEL-ADL
5MA3,1bm2PAD,PAD,10/01/2025 15:30,,3,MEL-ADL
5MA5,5ma5MFT,MFT,,9/01/2025 17:15,1,MEL-ADL
5MA5,5ma5TLB,TLB,10/01/2025 3:01,10/01/2025 3:39,2,MEL-ADL
5MA5,1bm2AFT,AFT,10/01/2025 6:40,,3,MEL-ADL
5MB4,5mb4MFT,MFT,,9/01/2025 20:00,1,MEL-BRI
5MB4,5mb4SFT,SFT,10/01/2025 9:02,10/01/2025 9:07,2,MEL-BRI
5MB4,1bm2BFT,BFT,11/01/2025 4:15,,3,MEL-BRI
5MB5,5mb5MFT,MFT,,9/01/2025 18:25,1,MEL-BRI
5MB5,5mb5SFT,SFT,10/01/2025 7:19,10/01/2025 11:17,2,MEL-BRI
5MB5,1bm2BFT,BFT,11/01/2025 7:30,,3,MEL-BRI
5MP2,5MP2MFT,MFT,,9/01/2025 14:00,1,MEL-PER
5MP2,5MP2TLB,TLB,10/01/2025 0:19,10/01/2025 0:40,2,MEL-PER
