TRAIN_NAME,TRAIN,ORIGIN,SERVICE,WAGON_CLASS,NUM_WAGONS,LEG_NUM
4BM4,4BM4SFT,SFT,4BM4,RRQY,10,2
4BM4,4BM4SFT,SFT,4BM4,RRAY,4,2
4BM4,4BM4SFT,SFT,4BM4,RQSY,1,2
4BM4,4BM4SFT,SFT,NR3,NR,3,2
4MB4,4MB4SFT,SFT,3AB6,SQTY,1,2
4MB4,4MB4SFT,SFT,4MB4,SQTY,6,2
4MB4,4MB4SFT,SFT,4MB4,RRQY,10,2
4MB4,4MB4SFT,SFT,4MB4,RRAY,3,2
4MB4,4MB4SFT,SFT,4MB4,RQJW,4,2
4MB4,4MB4SFT,SFT,NR3,NR,3,2
4NY3,4NY3SFT,SFT,4NPATM,4NPATM,1,2
4NY3,4NY3SFT,SFT,4NYLIB,4NYLIB,1,2
4NY3,4NY3SFT,SFT,NR3,NR,3,2
4SB3,4SB3SFT,SFT,2MNINF,2MNINF,1,1
4SB3,4SB3SFT,SFT,2YBLIB,2YBLIB,1,1
4SB3,4SB3SFT,SFT,3MNQ,RQSY,5,1
4SB3,4SB3SFT,SFT,4SB5,RRAY,2,1
4SB3,4SB3SFT,SFT,4SB5,SQTY,1,1
4SB3,4SB3SFT,SFT,4SB5,RQJW,3,1
4SB3,4SB3SFT,SFT,4SB5,RQSY,2,1
4SB3,4SB3SFT,SFT,4SBATM,4SBATM,1,1
4SB3,4SB3SFT,SFT,4SN2,RQSY,6,1
4SB3,4SB3SFT,SFT,7PN3,RQSY,3,1
4SB3,4SB3SFT,SFT,NR3,NR,3,1
4SM2,4SM2SFT,SFT,3NMQ,RQSY,5,1
4SM2,4SM2SFT,SFT,4NMATM,4NMATM,1,1
4SM2,4SM2SFT,SFT,4NMINF,4NMINF,1,1
4SM2,4SM2SFT,SFT,4SA5,RRAY,2,1
4SM2,4SM2SFT,SFT,4SA5,SQTY,3,1
4SM2,4SM2SFT,SFT,4SM5,RQSY,1,1
4SM2,4SM2SFT,SFT,4SM5,RRAY,2,1
4SM2,4SM2SFT,SFT,4SM5,RQJW,7,1
4SM2,4SM2SFT,SFT,4SM5,RKLY,3,1
4SM2,4SM2SFT,SFT,NR3,NR,3,1
4YN2,4YN2SFT,SFT,3ANATM,3ANATM,1,5
4YN2,4YN2SFT,SFT,3ANINF,3ANINF,1,5
4YN2,4YN2SFT,SFT,4YBLIB,4YBLIB,1,5
4YN2,4YN2SFT,SFT,4YNLIB,4YNLIB,1,5
4YN2,4YN2SFT,SFT,4YNLIBB,4YNLIBB,1,5
4YN2,4YN2SFT,SFT,NR3,NR,3,5
5BM4,5BM4SFT,SFT,5BM4,RQJW,4,2
5BM4,5BM4SFT,SFT,5BM4,RRAY,4,2
5BM4,5BM4SFT,SFT,5BM4,RRQY,10,2
5BM4,5BM4SFT,SFT,5BM4,RQSY,1,2
5BM4,5BM4SFT,SFT,5BM4,SQTY,5,2
5BM4,5BM4SFT,SFT,NR3,NR,3,2
5MB4,5MB4SFT,SFT,4AB6,RRYY,1,2
5MB4,5MB4SFT,SFT,4AB6,RRAY,2,2
5MB4,5MB4SFT,SFT,4AB6,RQSY,4,2
5MB4,5MB4SFT,SFT,5MB4,RQSY,1,2
5MB4,5MB4SFT,SFT,5MB4,RRAY,3,2
5MB4,5MB4SFT,SFT,5MB4,SQTY,2,2
5MB4,5MB4SFT,SFT,5MB4,RRQY,10,2
5MB4,5MB4SFT,SFT,NR3,NR,3,2
5NY3,5NY3SFT,SFT,4NAATM,4NAATM,1,2
5NY3,5NY3SFT,SFT,4NAINF,4NAINF,1,2
5NY3,5NY3SFT,SFT,5NPATM,5NPATM,1,2
5NY3,5NY3SFT,SFT,5NPINF,5NPINF,1,2
5NY3,5NY3SFT,SFT,5NYLIB,5NYLIB,1,2
5NY3,5NY3SFT,SFT,NR3,NR,3,2
5SB6,5SB6SFT,SFT,4EB1,RQJW,4,1
5SB6,5SB6SFT,SFT,4MB6,RQJW,1,1
5SB6,5SB6SFT,SFT,4MB6,RQSY,1,1
5SB6,5SB6SFT,SFT,4MB6,RRAY,2,1
5SB6,5SB6SFT,SFT,5SB5,RQJW,7,1
5SB6,5SB6SFT,SFT,5SB5,SQTY,1,1
5SB6,5SB6SFT,SFT,5SB5,RRAY,2,1
5SB6,5SB6SFT,SFT,5SB5,RQSY,1,1
5SB6,5SB6SFT,SFT,7PB6,RQJW,1,1
5SB6,5SB6SFT,SFT,7PB6,RQSY,4,1
5SB6,5SB6SFT,SFT,7PB6,RRAY,3,1
5SB6,5SB6SFT,SFT,NR3,NR,3,1
5SM2,5SM2SFT,SFT,4NMQ,RQSY,5,1
5SM2,5SM2SFT,SFT,5NMATM,5NMATM,1,1
5SM2,5SM2SFT,SFT,5NMINF,5NMINF,1,1
5SM2,5SM2SFT,SFT,5SM5,RKLY,5,1
5SM2,5SM2SFT,SFT,5SM5,SQTY,1,1
5SM2,5SM2SFT,SFT,5SM5,RRAY,0,1
5SM2,5SM2SFT,SFT,5SM5,RQJW,4,1
5SM2,5SM2SFT,SFT,5SM5,RQSY,1,1
5SM2,5SM2SFT,SFT,NR3,NR,3,1
5SP5,5SP5SFT,SFT,3BP5,RQSY,4,1
5SP5,5SP5SFT,SFT,3BP5,RRAY,3,1
5SP5,5SP5SFT,SFT,3BP5,RQJW,1,1
5SP5,5SP5SFT,SFT,4NPINF,4NPINF,1,1
5SP5,5SP5SFT,SFT,4SP5,RRYY,1,1
5SP5,5SP5SFT,SFT,4SP5,RRAY,2,1
5SP5,5SP5SFT,SFT,4SP5,RQSY,5,1
5SP5,5SP5SFT,SFT,4SP5,RQJW,4,1
5SP5,5SP5SFT,SFT,4SPS,RRAY,2,1
5SP5,5SP5SFT,SFT,5SP5FUEL,RQSY,1,1
5SP5,5SP5SFT,SFT,NR3,NR,3,1
6BM4,6BM4SFT,SFT,6BA6,RQSY,1,2
6BM4,6BM4SFT,SFT,6BA6,RRAY,1,2
6BM4,6BM4SFT,SFT,6BA6,RRYY,1,2
6BM4,6BM4SFT,SFT,6BA6,SQTY,6,2
6BM4,6BM4SFT,SFT,6BM4,RRQY,3,2
6BM4,6BM4SFT,SFT,6BM4,RRAY,5,2
6BM4,6BM4SFT,SFT,6BM4,SQTY,5,2
6BM4,6BM4SFT,SFT,6BM4,RQJW,4,2
6BM4,6BM4SFT,SFT,NR3,NR,3,2
6MB4,6MB4SFT,SFT,6MB4,RQJW,4,2
6MB4,6MB4SFT,SFT,6MB4,SQTY,5,2
6MB4,6MB4SFT,SFT,6MB4,RRQY,10,2
6MB4,6MB4SFT,SFT,6MB4,RRAY,4,2
6MB4,6MB4SFT,SFT,6MB4,RQSY,1,2
6MB4,6MB4SFT,SFT,NR3,NR,3,2
6NY3,6NY3SFT,SFT,3BYLIB,3BYLIB,1,2
6NY3,6NY3SFT,SFT,4BYLIB,4BYLIB,1,2
6NY3,6NY3SFT,SFT,4BYLIBR,4BYLIBR,1,2
6NY3,6NY3SFT,SFT,5NAATM,5NAATM,1,2
6NY3,6NY3SFT,SFT,5NAINF,5NAINF,1,2
6NY3,6NY3SFT,SFT,5SP2,RQJW,1,2
6NY3,6NY3SFT,SFT,5SP2,RRAY,4,2
6NY3,6NY3SFT,SFT,6NYLIB,6NYLIB,1,2
6NY3,6NY3SFT,SFT,6NYM,RQSY,3,2
6NY3,6NY3SFT,SFT,NR2,NR,2,2
6SP5,6SP5SFT,SFT,4BP5,RRQY,1,1
6SP5,6SP5SFT,SFT,4BP5,RQJW,4,1
6SP5,6SP5SFT,SFT,4BP5,RQSY,1,1
6SP5,6SP5SFT,SFT,4BP5,RRAY,5,1
6SP5,6SP5SFT,SFT,5SP5,RQSY,2,1
6SP5,6SP5SFT,SFT,5SP5,RQJW,3,1
6SP5,6SP5SFT,SFT,5SPS,RRQY,3,1
6SP5,6SP5SFT,SFT,6SP5FUEL,RQSY,1,1
6SP5,6SP5SFT,SFT,NR3,NR,3,1
7BM4,7BM4SFT,SFT,7BM4,RQSY,1,2
7BM4,7BM4SFT,SFT,7BM4,RRAY,3,2
7BM4,7BM4SFT,SFT,7BM4,RRQY,10,2
7BM4,7BM4SFT,SFT,7BM4,SQTY,9,2
7BM4,7BM4SFT,SFT,NR3,NR,3,2
