Date,ContainerType,TrainNum,DayOfWeek,Month,DailyVolume
2024-01-17,C 53,4MP5,Wed,1,2.599999999999996
2024-01-17,C 45,4MP5,Wed,1,2.1999999999999966
2024-01-17,C 20,4MP5,Wed,1,1.0
2024-01-17,C 51,4MP5,Wed,1,2.5
2024-01-18,C 48,4MP5,Thu,1,2.3999999999999786
2024-01-18,C 40,4MP5,Thu,1,2.0
2024-01-18,C 53,4MP5,Thu,1,2.599999999999996
2024-01-18,C 45,4MP5,Thu,1,2.1999999999999966
2024-01-18,C 20,4MP5,Thu,1,1.0
2024-01-18,C 51,4MP5,Thu,1,2.5
2024-01-19,C 48,4MP5,Fri,1,2.399999999999972
2024-01-19,C 40,4MP5,Fri,1,2.0
2024-01-19,C 53,4MP5,Fri,1,2.599999999999996
2024-01-19,C 45,4MP5,Fri,1,2.1999999999999966
2024-01-19,C 20,4MP5,Fri,1,1.0
2024-01-19,C 51,4MP5,Fri,1,2.5
2024-01-20,C 48,4MP5,Sat,1,2.399999999999972
2024-01-20,C 40,4MP5,Sat,1,2.0
2024-01-20,C 53,4MP5,Sat,1,2.599999999999996
2024-01-20,C 45,4MP5,Sat,1,2.1999999999999966
2024-01-20,C 20,4MP5,Sat,1,1.0
2024-01-20,C 51,4MP5,Sat,1,2.5
2024-01-21,C 48,4MP5,Sun,1,2.399999999999977
2024-01-21,C 40,4MP5,Sun,1,2.0
2024-01-21,C 53,4MP5,Sun,1,2.599999999999996
2024-01-21,C 45,4MP5,Sun,1,2.1999999999999966
2024-01-21,C 20,4MP5,Sun,1,1.0
2024-01-21,C 51,4MP5,Sun,1,2.5
2024-01-22,C 48,4MP5,Mon,1,2.399999999999972
2024-01-22,C 40,4MP5,Mon,1,2.0
2024-01-22,C 53,4MP5,Mon,1,2.599999999999996
2024-01-22,C 45,4MP5,Mon,1,2.1999999999999966
2024-01-22,C 20,4MP5,Mon,1,1.0
2024-01-22,C 51,4MP5,Mon,1,2.5
2024-01-23,C 48,4MP5,Tue,1,2.399999999999972
2024-01-23,C 40,4MP5,Tue,1,2.0
2024-01-23,C 53,4MP5,Tue,1,2.599999999999996
2024-01-23,C 45,4MP5,Tue,1,2.1999999999999966
2024-01-23,C 20,4MP5,Tue,1,1.0
2024-01-23,C 51,4MP5,Tue,1,2.5
2024-01-24,C 48,4MP5,Wed,1,2.399999999999972
2024-01-24,C 40,4MP5,Wed,1,2.0
2024-01-24,C 53,4MP5,Wed,1,2.599999999999996
2024-01-24,C 45,4MP5,Wed,1,2.1999999999999966
2024-01-24,C 20,4MP5,Wed,1,1.0
2024-01-24,C 51,4MP5,Wed,1,2.5
2024-01-25,C 48,4MP5,Thu,1,2.3999999999999786
2024-01-25,C 40,4MP5,Thu,1,2.0
2024-01-25,C 53,4MP5,Thu,1,2.599999999999996
2024-01-25,C 45,4MP5,Thu,1,2.1999999999999966
2024-01-25,C 20,4MP5,Thu,1,1.0
2024-01-25,C 51,4MP5,Thu,1,2.5
2024-01-26,C 48,4MP5,Fri,1,2.399999999999972
2024-01-26,C 40,4MP5,Fri,1,2.0
2024-01-26,C 53,4MP5,Fri,1,2.599999999999996
2024-01-26,C 45,4MP5,Fri,1,2.1999999999999966
2024-01-26,C 20,4MP5,Fri,1,1.0
2024-01-26,C 51,4MP5,Fri,1,2.5
2024-01-27,C 48,4MP5,Sat,1,2.399999999999972
2024-01-27,C 40,4MP5,Sat,1,2.0
2024-01-27,C 53,4MP5,Sat,1,2.599999999999996
2024-01-27,C 45,4MP5,Sat,1,2.1999999999999966
2024-01-27,C 20,4MP5,Sat,1,1.0
2024-01-27,C 51,4MP5,Sat,1,2.5
2024-01-28,C 48,4MP5,Sun,1,2.399999999999977
2024-01-28,C 40,4MP5,Sun,1,2.0
2024-01-28,C 53,4MP5,Sun,1,2.599999999999996
